txid,size,ts_send,ts_accept,ts_commit,ts_error
19f493e3751bef8ddbfe664798c19542f4ab25ba1aebc11f98573890b5ef03d8,1024,1548410096903,1548410096922,1548410098344,
c908416aec7931ae00a5e9382910f01cc8190c41f8b49e7ca09950edfe838d4a,1024,1548410096915,1548410096936,1548410098344,
9849e2d469b76a8bcf94e6c3c297c0dec9327d073935c5d8fbfa75b64907c48a,1024,1548410096917,1548410096976,1548410098345,
7df824f301ac43be3dcc5e2be215babba90ed7edead5d09d7a82866e83102308,1024,1548410096923,1548410096972,1548410098345,
11f72f98e04e0ac783caef85728757c4d325238a7120bd4acc6e4e4f6d75cdc9,1024,1548410096917,1548410096959,1548410098345,
b7f216016f0d72aeaf423c8e89c846d0e69fe29dfec6999a4f6c3e3351954892,1024,1548410096973,1548410097239,1548410098345,
b37f4935205aacda97349639c5566e821148b99464b35edbe5521171329d19fc,1024,1548410096945,1548410097198,1548410098346,
2254aba3298c67c8abdf21920ecaa1feb9656aef203373cf0f53fcf45350db66,1024,1548410096960,1548410097214,1548410098346,
1170058b569bcb22cdd2f7c58e097205d7b5722ce453ee8df76c27570e4271d7,1024,1548410097130,1548410097285,1548410098346,
22f244639d622520ec67772a7a20e8e744fa01b8f28bd6a8a204bfe94e6d0445,1024,1548410096977,1548410097240,1548410098346,
8130b3af14e99cd8c326a33b33ec5524d8af179addd535fa6de6067538ac2181,1021,1548410097293,1548410097360,1548410098346,
2cf8c2c627d13d1e3a7a008634f4f2a57eb7bc3539029f5264d6d72a8b60ed03,1024,1548410097334,1548410097364,1548410098347,
0f46d139958353fbae8515a17df0aa38845ae84d23e921e6f67f309a78725afc,1024,1548410097240,1548410097292,1548410098347,
31ec87bc44cfdbe6e4e7d047edb07414ba047b0538020aaf1568d0023535bab6,1021,1548410096936,1548410097263,1548410098347,
402832ca7a82b1c18ab0e05ba7c8c6ed4d4eaa6a9364fce67cb03d7f2ff2136d,1024,1548410096946,1548410097263,1548410098347,
440f7e6eeb48ca740d285e27c2bf3e6032b1a1695897980cf04725a9fb32583d,1021,1548410097215,1548410097338,1548410098347,
20fb3cdbe35b449152597dda4038c3ba6e8b89cc0f65da6ae59a54064a8b0029,1024,1548410097239,1548410097339,1548410098348,
6437a4ced6143ba5b2b42bc9585a24ffcd941ff82f2896800ee2f0b5c5b60943,1024,1548410097260,1548410097350,1548410098348,
