txid,size,ts_send,ts_accept,ts_commit,ts_error
c50fa19b0dc42eb0725b0b02f661014918ecebea7acf1a37e293406f904c065d,765,1548409860585,1548409860634,1548409862400,
e6c0dcfdf54fd8b4e87642df80def6310353eab82700992654d38002a3319d2b,765,1548409860246,1548409860584,1548409862401,
8c1ce79f5f4eae6d98a114a427661378dda2de6d92e757e7737542856e7efe4f,765,1548409860567,1548409860700,1548409862401,
9a170225cc96a1968486e533d1b34b4f2c384a4fb58dd5da9ecb1c541f59b316,765,1548409860596,1548409860775,1548409862401,
6e7ddcc2c132e3fb377a73e797917cc19d2aed7edc0a88cc4a1cb9b8c11dc227,765,1548409860606,1548409860758,1548409862402,
1af01aae7d095f88d8f1f012673221ee4bb1c5d0af81af1cc877c42ee82f1491,765,1548409860602,1548409860765,1548409862402,
b2d533ab19421018f4ecb4b3a682129aa7caa52cf3e00286d007fd0e3e959295,765,1548409860758,1548409860825,1548409862402,
31a5c0d41d5cd6afadbbee40f7602dca305155715adda97a69e4dc60344e754f,765,1548409860652,1548409860770,1548409862403,
7300bce6864b6f92cf1be6ceb184b7e1df2ef711e0e32479700db9a414d156ce,765,1548409860842,1548409860923,1548409862403,
c4938e3050d9b1bca5d6896b57251e0b23496c6575b50e153f9d1ab9edd445c7,765,1548409860700,1548409860826,1548409862403,
d3e123d0b6c8818dd5c9b41ecbfbe939758606d28b314a92f5fb70c77895f9a2,765,1548409860743,1548409860829,1548409862404,
c3dde2c916a720200e915d9594ea51d787901cbdd1d61d49aec07fbe68431a09,765,1548409860770,1548409860851,1548409862404,
a8298d7b696ffb1adb0f2dc9314185124644727628c13842e8daf20368a98913,765,1548409860776,1548409860841,1548409862404,
6751bbede974ffd4c2430b1070528c40aae110553e04805b2c05e10a5d0b4e94,765,1548409860899,1548409861008,1548409862405,
9bb8211145f264a09f830fb6c7ef1db1b428131dbc7b812ed709216d3ef3b032,765,1548409860641,1548409860831,1548409862405,
23e0207c1d40609db276f0fd35b1697fba795b403b810fe84699f9887413e080,765,1548409860825,1548409860887,1548409862405,
3f65f51fce116b8a3b0b02fd5f363b22aa0467002fa3c6a2f23f676b3de3938c,765,1548409861001,1548409861202,1548409862406,
83d45f0cc99690f50e25180f3c37c57bf63e1b72ddac80de3798463d9f3e1291,765,1548409860765,1548409860862,1548409862406,
17f7c160c26fc720bba7a44e351d99671030ae71472e45f04b33a4cbcfbd237a,765,1548409860888,1548409860974,1548409862406,
ff69a3bd45df60c9445a44028a76754f3dcbef7486b7684b9b6f489b67e9cdb2,765,1548409860831,1548409860899,1548409862407,
c17f4f5ab9bad0523f9c8e991dc01f54dbda74648d8e561a581da68c9644d06e,765,1548409860806,1548409860912,1548409862407,
07641b00a3671d6f6ca39a313d5994d2c8a41d70e4c65291443cf096e9607961,765,1548409860830,1548409860956,1548409862408,
4d9c7116a9afc5a38918ee10e5cda3bfab26ef111013a67b378a2c93e472e173,765,1548409860852,1548409861000,1548409862408,
e91d12f21fdc4716a47134b5061cf097a78b4c2cec776254fc1ad6b0e80b49b5,765,1548409861141,1548409861262,1548409862408,
2833260bfa6b5116d0a8203463e6b7ecf21471ac8f976f00ac9ad7f0596bf829,765,1548409861146,1548409861276,1548409862409,
b1a61c4d29a2c46bc299d25ef779dbd156285ed11d78e48986fecbc55e4e3e3f,765,1548409861275,1548409861529,1548409862409,
aed6b9dab1422e25e0834267a5060531055f56e409f94b46e166db848b98ecc2,765,1548409860913,1548409861046,1548409863678,
d6a25088d0901bd53c68c5b8c4f952a89dc6fe4e3de99b57ae6861cc5170fb15,765,1548409861097,1548409861275,1548409863679,
6a1235464ae21e1df01f0c613d99b7eb5cb3a14a14fb14c486f28d28e89858e7,765,1548409860923,1548409861097,1548409863679,
5981b483d80de876ecc6c52e01dbbda4dd9b785bacef1d9313ce8a23af7e4811,765,1548409860975,1548409861097,1548409863680,
dc0707656d7b5482a080f6454ec36144e91a9bb11e9a615c6b65cce10d0c7a8a,765,1548409860863,1548409860992,1548409863681,
0a969975104286e99c879809378fbb220371ecf50cff1849af09fb20dbc6a1d3,765,1548409860940,1548409861059,1548409863692,
8e3ad25443efdc87f38f5049fab0683295f036b2eccdf20e56e4d4923abb1b5f,765,1548409860826,1548409860940,1548409863692,
0f856aff6e1a9564e6ad5996b2926ed1277345002ff07f11c24ff93c56511136,765,1548409861098,1548409861163,1548409863693,
88b7ea28075bb0e8d1ee8ced1f029bd73b77c86e137fba71a3bc2994dcc05361,765,1548409860956,1548409861193,1548409863693,
43d7245ad6bac6e1a302ec4b36c4a4030646ef32b701aa53f62b314e87a6dcc6,765,1548409861008,1548409861201,1548409863693,
e4bfdce65e915693c245669b6f7734aa5cc56a1a781daa99350b6c521f4e4863,765,1548409861047,1548409861233,1548409863694,
315c500345961a4aaa0a49fa2aab2e39d7d6ce5c466ed6bac0b25dc37bae4ded,765,1548409860992,1548409861074,1548409863694,
204fc580b2bd34012846771cc676940d886caab888227f4576165517094f9ed5,765,1548409861059,1548409861140,1548409863694,
14c25c0b9052e31fdf8aa30226f4549a9879e8aecd4c1f247d06e31958163736,765,1548409861074,1548409861146,1548409863695,
76e53ba16c00a2b2f2e24bec917d85cc8046b7485c174342d48b37c63a250e2d,765,1548409861201,1548409861374,1548409863695,
60b750be1e5c1961c723c049669ce7ff2b30618e1900718857a2f426c1f457bf,765,1548409861233,1548409861422,1548409863695,
ca3fec11441234a48817e049631dba3d7fcabd226bbe021d58493084306246b2,765,1548409861262,1548409861445,1548409863696,
58e39d7d1d80c9045b1615722649787b64896a150b31239f99059d20b23d61a3,765,1548409861203,1548409861500,1548409863696,
36844b713aa8b52937771df03ecbf52692f9a244180dce8168f112e0225a240a,765,1548409861163,1548409861476,1548409863696,
559564bcabbf239044e2f79356b2dd4ebfc9d3a8c8fdf75adafa695787f8e943,765,1548409861194,1548409861484,1548409863696,
1baf876ea8cef77298a920e613e2a9dde820dd69dc74103ce44a9eba2007bf87,765,1548409861276,1548409861567,1548409863697,
785bed05e32de73bd62531106ddab8249161953ac87c6bddb3cdfd3c76910464,765,1548409861476,1548409861638,1548409863697,
732f3104709cdc917a3bc239f760ebc2f431d565098ee9843404b7daaa46d826,765,1548409861375,1548409861630,1548409863697,
952359aa9227503f788ac3d8276b66a9968438ae7499148a43844d3c97e7316e,765,1548409861728,1548409861802,1548409863697,
083856b2c8e84d6638a0de140646972606d8e8d748a609bc7fddc9207ba524e3,765,1548409861630,1548409861694,1548409863698,
c2764b7a1878840fc65edc9707801b89e53a5294321cfd0fe81ec2bfe0b24a54,765,1548409861530,1548409861765,1548409863698,
1de36cd430abecf8eac60d2ab9ddbf84abecb9862d226a1cd18a7ed92ff77c72,765,1548409861567,1548409861702,1548409863698,
34f1c97011d2788132c62caabbe60425a7b12b627395a3badc6d9055c679c8de,765,1548409861780,1548409861897,1548409863698,
f4ed1c871c25206ba2b0ca26c184b392632282e264262704b1c6fc6b9ed09a84,765,1548409861638,1548409861704,1548409863699,
c282060cc57205a5314bbd7b4e92524d11a0c182fafe1e112f2689dd581aec3b,765,1548409861695,1548409861728,1548409863699,
db67a2bee292540f5df12049c4cb173cdb91e6da6d8d50d7dde4ea457b27ed9b,765,1548409861703,1548409861780,1548409863699,
afa2dafae7b9059dec1d2a3007b3a6a0f036c314a7e083766758809a6afc80fc,765,1548409861704,1548409861787,1548409863699,
